"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.41155194881917e-34,0.268341749432394,0.373,0.267,1.61115888921877e-29,"16","Brd3"
7.20401563342391e-34,0.252201927376667,0.396,0.288,1.81029708852309e-29,"16","Sf1"
7.48604878356141e-34,0.355800747899445,0.3,0.209,1.88116919882115e-29,"16","Angel2"
8.37657785510317e-34,0.281420063206201,0.372,0.27,2.10495024920888e-29,"16","Ilrun"
1.00371840475539e-33,0.296877518256403,0.43,0.321,2.52224397930982e-29,"16","Zfp652"
1.03006796328941e-33,0.346124462620148,0.281,0.192,2.58845778494996e-29,"16","Ptpn2"
1.46383832402102e-33,0.315970252332014,0.323,0.229,3.67847932443242e-29,"16","Cnot6"
2.82202950456683e-33,0.307589023820531,0.316,0.222,7.09147794202599e-29,"16","Paxbp1"
3.37496342683321e-33,0.353271209600249,0.283,0.196,8.48094559528918e-29,"16","Lsm1"
4.22368132372705e-33,0.367383975619445,0.295,0.206,1.06136887983937e-28,"16","Erg28"
4.91299870169332e-33,0.308735808883742,0.338,0.241,1.23458744374851e-28,"16","Rif1"
8.41167034976675e-33,0.36843208085756,0.275,0.189,2.11376864219289e-28,"16","Tug1"
1.28393076168244e-32,0.316196354523697,0.303,0.213,3.22638961103181e-28,"16","Akap8l"
1.3627610550589e-32,0.374397455312238,0.256,0.175,3.4244822552575e-28,"16","Gtf2a1"
1.55158279185684e-32,0.415376740755266,0.258,0.177,3.89897239765706e-28,"16","Surf1"
1.82282399503613e-32,0.408336436044138,0.258,0.176,4.58057441712629e-28,"16","Gnl2"
1.84898882800058e-32,0.265837305057908,0.426,0.319,4.64632402588265e-28,"16","Txn2"
2.11475942240044e-32,0.399660717986191,0.255,0.174,5.31417895255007e-28,"16","Taf11"
3.11234707214864e-32,0.297055005485927,0.327,0.233,7.82101695760232e-28,"16","Brd9"
3.43421358542735e-32,0.416934290210455,0.253,0.171,8.6298353188204e-28,"16","Sart1"
4.11806837152128e-32,0.287920505292002,0.346,0.249,1.03482940107958e-27,"16","Tmed7"
4.29208098375399e-32,0.386186925023305,0.273,0.188,1.07855703040754e-27,"16","Phf20"
6.02749563453021e-32,0.327368075326525,0.303,0.214,1.5146493780011e-27,"16","2310009A05Rik"
6.3317402611722e-32,0.366855483211905,0.296,0.207,1.59110301022996e-27,"16","Ecpas"
9.0813827646347e-32,0.372511361485446,0.277,0.193,2.28206067492505e-27,"16","Clock"
9.34157916726073e-32,0.334083097588863,0.321,0.231,2.34744542894095e-27,"16","Yipf1"
1.19833426758427e-31,0.374889136640818,0.278,0.195,3.0112941810125e-27,"16","Pigyl"
2.07149846167573e-31,0.399610443805644,0.255,0.174,5.20546848434493e-27,"16","Acadvl"
2.61671053536467e-31,0.251774123210276,0.42,0.313,6.57553190431787e-27,"16","Hspa9"
4.35961665256724e-31,0.359344506279937,0.259,0.179,1.09552806862362e-26,"16","Pard3"
5.25065718871196e-31,0.321371069889409,0.334,0.243,1.31943764495143e-26,"16","Mrps26"
8.93427745813594e-31,0.369032089679898,0.281,0.198,2.24509458245498e-26,"16","Tfg"
1.1977615792213e-30,0.311489237796197,0.318,0.229,3.00985507242521e-26,"16","Paip1"
1.47163082929665e-30,0.32110292342891,0.325,0.234,3.69806111093956e-26,"16","Faf2"
1.90106223799332e-30,0.315417759162872,0.32,0.229,4.7771792978534e-26,"16","Btbd1"
2.50929830736582e-30,0.313230350792344,0.334,0.242,6.30561571657957e-26,"16","Ten1"
2.64144933173193e-30,0.283015189001496,0.325,0.234,6.63769802570916e-26,"16","Mga"
