"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tnip3",0.000974399813848014,-0.736460644810848,0.9,0.9,1
"Coro1b",0.000975203705797105,0.711301130037701,1,0.9,1
"Rfc4",0.000981579084283571,0.659984269602188,0.9,0.8,1
"Cebpa",0.000993929544734089,-0.429371690289354,1,0.9,1
"Parp9",0.0010083745835931,0.457287429521903,0.9,0.9,1
"Eif3d",0.00104057333143533,0.635089175786158,1,0.9,1
"Sash3",0.0010438237635461,0.484611084027935,0.9,0.9,1
"Ccdc167",0.00105323801021624,0.690026462673308,0.9,0.9,1
"C5ar1",0.00105691810313921,-0.915657102719873,0.9,1,1
"Eif3j1",0.00107138696761011,0.744142344686795,1,0.9,1
"Clgn",0.00110741619668522,0.819416023233056,0.8,0.3,1
"Kif9",0.00112341492300831,0.465547266072931,0.8,0.1,1
"Mcub",0.00113601891447374,0.615017983228965,1,0.9,1
"Lig1",0.00115268311457579,0.713242391013272,1,0.9,1
"Gm20707",0.00115349433472844,0.80037335676097,1,0.9,1
"Mt1",0.0011808102448926,-0.506710889037779,1,1,1
"Ubc",0.0011871505740385,-0.506275520648948,1,1,1
"Cfap126",0.00121621346594566,0.843591124297695,0.7,0.2,1
"Mcf2l",0.00124084599515105,1.15946261951387,0.8,0.5,1
"Gm20536",0.00124984700571832,0.625989114507629,0.9,0.7,1
"Rbpms",0.00125269618405885,-0.489373276068384,0.9,0.9,1
"Mapk8ip2",0.00125617645696533,0.777388955741398,0.6,0.2,1
"Epas1",0.0012995406591611,0.775760696253444,0.8,0.2,1
"Bpifb4",0.00132455381082198,0.979052508720178,0.6,0.6,1
"Top2a",0.00132733667467112,0.733943902511079,0.9,0.8,1
"Ccr5",0.00134916657861072,0.494948831631552,1,0.9,1
"1500011B03Rik",0.00135821328167906,0.849860399823573,1,0.9,1
"Swap70",0.00138499346706077,0.515801830414115,1,0.9,1
"Mrfap1",0.00139726103748663,-0.470749332360237,1,1,1
"Dmxl1",0.00142548840891137,0.731542246602833,1,0.9,1
"Gm4951",0.00143442853368321,0.651214376542161,0.9,0.9,1
"Frmd4a",0.00144847477034328,0.801395010756628,1,0.9,1
"Pla2g4a",0.00144913052810007,0.792408004850724,1,0.9,1
"Psme2",0.00145253556052123,0.565832876539599,1,0.9,1
"Snrpa1",0.00146620225841347,0.675530642003805,1,0.9,1
"Trim30d",0.00149026015634823,-0.53168411469623,1,1,1
"Atg2a",0.00152914143022395,1.01945507526347,1,0.9,1
"Lrch3",0.00154889019810952,0.592888207746093,1,0.9,1
"Btbd11",0.00154998895474559,0.485286985752198,0.8,0,1
"Dbnl",0.00155283578666906,0.51321355174185,1,0.9,1
"Elavl3",0.00157698085664497,0.816010042138708,0.8,0.3,1
"Rps27rt",0.0016218395932143,-0.39394489491874,1,0.9,1
"Shisa5",0.00164230032225333,0.538824491034976,1,0.9,1
"Rasgrp1",0.00166501971737741,0.917250853973846,1,0.9,1
"Tom1",0.00171064236888787,0.690344103610039,0.9,0.9,1
"Zrsr1",0.00175423709041129,0.586904408861036,0.9,0.9,1
"Btk",0.00185880458745305,0.46922026808861,1,0.9,1
"Sdccag8",0.00190400011898628,0.645010121977696,1,0.9,1
"Noc2l",0.0019042446412156,0.683640815740915,1,0.9,1
"Ptpn6",0.00192821542873637,0.499038633848617,1,0.9,1
"App",0.00202800386763814,0.483074832671485,1,1,1
"Cecr2",0.00204463134772024,0.582855522284964,0.8,0.3,1
"Reg3g",0.00204903646123206,0.570309836218745,0.7,0.1,1
"Fcgr1",0.00207684440911998,0.48268933950675,1,0.9,1
"Ptcd2",0.00208747492571316,0.664813997418028,1,0.9,1
"Ap2a2",0.00210493720622756,-0.289099739902627,1,1,1
"Ak1",0.00214583445615923,0.59733649079166,0.6,0.1,1
"Stmn2",0.00216803857031986,1.00479168991236,0.6,0.1,1
"Hpf1",0.00226846162898434,-0.160049317616072,1,1,1
"Ass1",0.00228140116128037,0.897609975042323,1,0.9,1
"Xrcc6",0.00230501915073528,0.710687603857044,0.9,0.9,1
"Calu",0.00235775842122454,0.730927752000769,1,0.9,1
"Cyp2a5",0.00239946179020355,2.0702930815219,0.6,0.3,1
"Adipor1",0.00240834333231591,-0.548850684684825,1,1,1
"Cmtr1",0.00242422311869098,0.677754977243,1,0.9,1
"Ankib1",0.00244121261794166,0.641432639078474,0.9,0.9,1
"AC109619.1",0.00245477672387767,0.76808356631744,0.5,0.1,1
"Api5",0.00248836143838514,-0.307121538359536,1,1,1
"Vps33a",0.00249605453570895,0.723619600052927,1,0.9,1
"Ccdc25",0.00253879550878878,0.604919465119786,0.9,0.9,1
"Ift74",0.00254187573110085,0.905674965793853,0.9,0.9,1
"Slc4a7",0.00254896125392102,0.666163718559457,1,0.9,1
"Tmem229b",0.00254972747764864,0.641731453645485,0.9,0.9,1
"Iars",0.00256965257915981,0.489380822136323,0.9,0.9,1
"Fam102a",0.00270638729271089,0.586303610812503,0.9,0.8,1
"D230025D16Rik",0.0027144896213589,0.53899952292418,0.9,0.9,1
"Mcm4",0.00271868634124299,0.530535263454812,0.9,0.9,1
